2023-10-20 06:50:23,558 WARN  [S57ToS101Converter] Conversion de GB5X01NW.000
2023-10-20 06:50:23,574 INFO  [AttributeConverterImpl] [dredging prohibited (9),  | , diving prohibited (11)] not converted for restriction of RestrictedAreaNavigational 540_29175021_1
2023-10-20 06:50:23,574 INFO  [AttributeConverterImpl] [anchoring prohibited (1)] not converted for restriction of RestrictedAreaRegulatory 540_29175021_1
2023-10-20 06:50:23,574 INFO  [AttributeConverterImpl] 540_29175023_1 : Attribute type VALSOU has been removed from the S101 feature type Obstruction
2023-10-20 06:50:23,582 INFO  [AttributeConverterImpl] 540_29174974_1 : Attribute type CATBRG has been removed from the S101 feature type SpanFixed
2023-10-20 06:50:23,582 INFO  [AttributeConverterImpl] 540_29174974_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value SpanFixed:verticalClearanceValue=
2023-10-20 06:50:23,582 INFO  [AttributeConverterImpl] 540_29175049_1 : Attribute type CATBRG has been removed from the S101 feature type SpanOpening
2023-10-20 06:50:23,583 INFO  [AttributeConverterImpl] 540_29175050_1 : Attribute type CATBRG has been removed from the S101 feature type SpanFixed
2023-10-20 06:50:23,583 INFO  [AttributeConverterImpl] 540_29175050_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value SpanFixed:verticalClearanceValue=
2023-10-20 06:50:23,586 INFO  [AttributeConverterImpl] [fishing prohibited (3)] not converted for restriction of RestrictedAreaNavigational 540_29175341_1
2023-10-20 06:50:23,587 INFO  [AttributeConverterImpl] [anchoring prohibited (1)] not converted for restriction of RestrictedAreaRegulatory 540_29175341_1
2023-10-20 06:50:23,589 INFO  [AttributeConverterImpl] 540_29175025_1 : Attribute type CATBRG has been removed from the S101 feature type SpanFixed
2023-10-20 06:50:23,589 INFO  [AttributeConverterImpl] 540_29175025_1 : Attribute type OBJNAM has been removed from the S101 feature type SpanFixed
2023-10-20 06:50:23,591 INFO  [AttributeConverterImpl] [directional function (1)] not converted for categoryOfLight of LightSectored 540_29175647_1
2023-10-20 06:50:23,591 INFO  [AttributeConverterImpl] 540_29175647_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,591 INFO  [AttributeConverterImpl] 540_29175647_1 : Removing a non-mandatory empty numeric value LightSectored:orientationUncertainty=
2023-10-20 06:50:23,592 INFO  [AttributeConverterImpl] 540_29175592_1 : Attribute type CATLIT has been removed from the S101 feature type LightAirObstruction
