2023-07-03 12:33:30,073 WARN  [S57ToS101Converter] Conversion de GB5X01NW
2023-07-03 12:33:30,085 INFO  [AttributeConverterImpl] 540_29175023_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,085 INFO  [AttributeConverterImpl] 540_29174974_1 : Attribute type CATBRG has been removed from the S101 feature type SpanFixed
2023-07-03 12:33:30,085 INFO  [AttributeConverterImpl] 540_29174974_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value SpanFixed:verticalClearanceValue=
2023-07-03 12:33:30,085 INFO  [AttributeConverterImpl] 540_29175049_1 : Attribute type CATBRG has been removed from the S101 feature type SpanOpening
2023-07-03 12:33:30,085 INFO  [AttributeConverterImpl] 540_29175050_1 : Attribute type CATBRG has been removed from the S101 feature type SpanFixed
2023-07-03 12:33:30,085 INFO  [AttributeConverterImpl] 540_29175050_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value SpanFixed:verticalClearanceValue=
2023-07-03 12:33:30,085 INFO  [AttributeConverterImpl] 540_29175025_1 : Attribute type CATBRG has been removed from the S101 feature type SpanFixed
2023-07-03 12:33:30,085 INFO  [AttributeConverterImpl] 540_29175025_1 : Attribute type OBJNAM has been removed from the S101 feature type SpanFixed
2023-07-03 12:33:30,085 WARN  [AttributeConverterImpl] Valeur S57 [directional function (1)] non convertie(s) pour categoryOfLight de LightSectored 540_29175647_1
2023-07-03 12:33:30,085 INFO  [AttributeConverterImpl] 540_29175647_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,085 INFO  [AttributeConverterImpl] 540_29175647_1 : Removing a non-mandatory empty numeric value LightSectored:orientationUncertainty=
2023-07-03 12:33:30,085 INFO  [AttributeConverterImpl] 540_29175592_1 : Attribute type CATLIT has been removed from the S101 feature type LightAirObstruction
2023-07-03 12:33:30,093 INFO  [AttributeConverterImpl] 540_29175545_1 : Removing a non-mandatory empty numeric value CableOverhead:verticalClearanceValue=
2023-07-03 12:33:30,093 INFO  [AttributeConverterImpl] 540_29175546_1 : Removing a non-mandatory empty numeric value CableOverhead:verticalClearanceValue=
2023-07-03 12:33:30,093 INFO  [AttributeConverterImpl] 540_29175343_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,093 INFO  [AttributeConverterImpl] 540_29175342_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175138_1 : Setting attribute value as empty for an unexisting s101 attribute value River:status=1
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175138_1 : Removing a non-mandatory empty numeric value River:status=
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175101_1 : Attribute type COLOUR has been removed from the S101 feature type BeaconLateral
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175101_1 : Attribute type COLOUR has been removed from the S101 feature type BeaconLateral
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175100_1 : Attribute type COLOUR has been removed from the S101 feature type BeaconLateral
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175100_1 : Attribute type COLOUR has been removed from the S101 feature type BeaconLateral
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175303_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175304_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175078_1 : Removing a non-mandatory empty numeric value Gate:horizontalClearanceValue=
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175079_1 : Removing a non-mandatory empty numeric value Gate:horizontalClearanceValue=
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175302_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175322_1 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175322_1 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175322_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value UnderwaterAwashRock:valueOfSounding=
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175323_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value UnderwaterAwashRock:valueOfSounding=
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175563_1 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175563_1 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175563_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value UnderwaterAwashRock:valueOfSounding=
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175113_1 : Attribute type CATBRG has been removed from the S101 feature type SpanFixed
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175113_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value SpanFixed:verticalClearanceValue=
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175074_1 : Attribute type CATLMK has been removed from the S101 feature type WindTurbine
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175599_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175600_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175601_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175602_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconLateral:beaconShape=
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175602_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconLateral:beaconShape=
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175657_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175652_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175653_1 : Attribute type CATLIT has been removed from the S101 feature type LightAirObstruction
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175658_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175659_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175660_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconLateral:beaconShape=
2023-07-03 12:33:30,104 INFO  [AttributeConverterImpl] 540_29175660_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconLateral:beaconShape=
2023-07-03 12:33:30,104 INFO  [AttributeConverterImpl] 540_29175654_1 : Attribute type CATLIT has been removed from the S101 feature type LightAirObstruction
2023-07-03 12:33:30,104 INFO  [AttributeConverterImpl] 540_29174987_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,104 INFO  [AttributeConverterImpl] 540_29175313_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,104 INFO  [AttributeConverterImpl] 540_29175121_1 : Attribute type CATBRG has been removed from the S101 feature type SpanFixed
2023-07-03 12:33:30,104 INFO  [AttributeConverterImpl] 540_29175121_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value SpanFixed:verticalClearanceValue=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175506_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175505_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175364_1 : Attribute type CATBRG has been removed from the S101 feature type SpanFixed
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175364_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value SpanFixed:verticalClearanceValue=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175650_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175649_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175648_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175594_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175595_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
