2023-07-03 12:33:31,978 WARN  [S57ToS101Converter] Conversion de IC3NEWPC
2023-07-03 12:33:31,978 INFO  [AttributeConverterImpl] 1810_1386862823_1 : Setting attribute value as empty for an unexisting s101 attribute value NavigationalSystemOfMarks:marksNavigationalSystemOf=10
2023-07-03 12:33:31,978 INFO  [AttributeConverterImpl] 1810_1386862823_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value NavigationalSystemOfMarks:marksNavigationalSystemOf=
2023-07-03 12:33:31,978 INFO  [S57ToS101] Writing 101IC003NEWPC.000 to ./data-references/dataConverted/s164/Conversion-1.1.5/3.4 Non-Official Data/New Producer CodesS100_ROOT/S-101/DATASET_FILES
2023-07-03 12:33:31,988 INFO  [CheckS101] * Checking dataSet '101IC003NEWPC'...
2023-07-03 12:33:31,988 INFO  [CheckS101] ** Checking dataSet '101IC003NEWPC' consistency to the dictionary...
2023-07-03 12:33:31,988 INFO  [CheckS101] ** End of dataSet '101IC003NEWPC' consistency to the dictionary check
2023-07-03 12:33:31,988 INFO  [CheckS101] ** Checking dataSet '101IC003NEWPC' group 1...
2023-07-03 12:33:31,988 INFO  [CheckS101] *** '101IC003NEWPC.000' group 1 OK
2023-07-03 12:33:31,988 INFO  [CheckS101] ** End of dataSet '101IC003NEWPC' group 1 check
2023-07-03 12:33:31,988 INFO  [CheckS101] * End of dataSet '101IC003NEWPC' check
